Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25
14,6,13,99,88,86,7,84,60,89,19,99,42,2,68,77,3,63,15,86,47,94,17,19,83
46,38,93,16,2,75,13,94,22,76,61,81,9,92,32,63,75,86,7,43,72,98,96,38,83
17,39,63,99,30,61,92,57,40,40,12,59,77,29,81,79,75,36,49,15,58,56,31,93,85
24,74,75,18,93,66,17,53,41,30,30,80,55,13,89,62,60,98,43,91,45,31,11,30,10
14,12,99,27,12,35,4,23,57,74,38,6,3,17,11,54,37,96,28,93,82,41,54,93,20
58,27,44,96,85,8,94,82,33,69,8,16,75,52,82,11,81,89,58,19,67,75,48,27,58
29,20,46,92,33,70,67,46,28,91,61,96,80,21,19,66,92,51,51,23,27,82,91,39,33
96,71,4,39,12,96,8,55,37,43,97,15,82,10,12,52,48,82,40,23,47,11,67,54,18
12,84,87,30,18,8,64,35,61,78,67,64,32,15,55,89,59,54,20,37,70,27,43,24,47
30,14,61,66,97,74,15,60,23,54,94,23,47,40,69,94,39,5,65,52,79,28,61,46,88
22,67,13,64,13,48,16,7,78,57,12,33,6,21,30,97,89,44,2,2,92,55,29,54,86
72,32,31,53,85,76,20,52,80,23,68,15,59,28,29,82,26,76,40,83,47,10,82,61,80
1,40,92,59,32,60,17,60,92,13,43,35,21,91,5,29,48,98,51,55,99,39,87,61,37
90,95,31,81,20,8,23,55,96,42,25,88,22,96,89,26,47,14,67,27,22,92,5,63,45
50,41,75,60,73,88,19,5,39,42,57,20,15,8,66,4,9,60,5,67,73,17,44,81,81
53,68,66,66,30,90,39,32,57,61,7,86,92,6,78,44,69,56,67,93,38,19,28,66,83
44,58,3,73,41,75,22,38,43,35,46,88,13,47,67,42,18,6,93,69,76,74,76,37,49
78,45,76,25,39,8,17,98,67,78,85,77,15,14,69,54,91,10,88,73,46,19,93,29,73
1,51,49,40,70,10,32,5,60,20,38,76,28,95,67,58,92,82,2,15,5,12,72,90,44
42,75,82,18,73,18,36,73,68,32,79,51,72,52,95,58,26,74,71,61,42,87,43,6,7
77,46,86,11,66,87,74,75,28,39,24,14,91,14,98,14,33,93,95,93,3,32,12,79,27
36,46,83,53,19,38,76,47,72,28,37,9,60,36,38,34,23,91,54,32,37,8,27,78,53
80,12,40,99,42,29,94,73,67,33,12,5,67,68,77,6,90,96,59,10,86,67,86,2,84
37,39,93,69,10,5,38,27,45,92,94,85,80,47,86,91,85,92,70,57,10,81,53,75,78
99,89,55,85,13,23,19,45,35,96,24,1,67,72,26,52,28,76,19,17,83,64,45,32,47
60,68,63,56,46,71,17,48,25,79,34,43,44,42,21,17,26,22,42,60,71,68,26,34,84
38,96,99,70,92,64,48,2,41,44,93,48,87,9,91,12,53,62,58,10,8,27,56,80,82
36,51,56,76,93,48,36,77,90,69,4,52,54,48,82,18,12,18,68,98,21,67,52,89,9
49,20,60,48,38,11,9,17,36,68,71,23,8,55,70,66,60,41,25,83,51,87,27,2,38
75,47,7,24,73,88,38,97,30,45,47,14,73,53,54,91,36,12,22,32,31,67,28,19,70
57,53,75,71,30,14,29,44,96,38,16,41,49,52,7,35,69,92,22,3,6,55,82,54,46
99,78,74,42,64,78,14,65,46,74,90,16,14,32,54,48,96,82,81,80,15,35,71,98,1
10,21,51,74,43,63,29,44,33,39,73,11,82,60,54,51,84,62,95,76,8,97,60,39,52
14,50,12,84,66,55,57,88,56,35,65,24,56,51,60,91,69,32,73,79,46,70,25,50,20
33,23,73,74,28,72,37,75,57,84,1,6,16,11,94,93,11,1,16,10,55,74,18,32,44
43,56,80,10,88,24,49,60,25,91,74,74,29,53,82,35,54,3,7,65,94,43,22,18,48
71,94,17,9,64,30,37,4,98,29,66,96,49,48,79,51,88,92,31,34,94,45,99,80,98
97,85,10,67,96,39,22,22,82,92,21,84,56,90,42,15,78,84,79,22,38,27,94,26,30
86,53,50,26,90,43,86,84,74,14,69,28,48,56,25,2,69,62,84,11,4,66,4,6,94
14,36,58,66,90,1,42,13,3,46,61,85,55,91,84,2,81,81,20,94,33,17,78,76,17
48,84,33,88,47,27,89,24,86,60,87,46,93,30,74,59,61,63,12,76,20,40,40,52,25
71,45,94,31,73,70,23,68,19,46,83,53,18,97,60,86,67,54,49,27,27,37,71,8,16
8,53,37,93,20,60,70,23,44,59,30,39,80,81,71,82,3,41,25,24,92,4,47,55,76
88,58,8,60,60,90,17,58,39,94,70,47,99,79,33,35,69,67,2,48,78,66,96,49,98
47,65,66,47,32,50,91,61,54,11,93,17,49,8,90,81,59,69,81,75,70,63,36,55,54
21,62,39,29,65,97,65,76,99,39,66,61,67,21,88,52,50,97,89,9,77,48,41,58,77
58,18,30,93,15,45,77,11,93,5,43,74,15,2,42,10,57,97,90,91,45,14,57,1,55
74,42,48,20,94,44,70,79,57,79,97,81,49,98,8,54,81,31,17,24,50,28,39,78,28
15,59,70,39,14,61,33,77,9,22,54,69,97,80,50,69,11,16,20,13,66,74,59,23,46
22,52,88,83,42,92,10,60,66,84,98,12,52,61,89,27,19,50,56,11,45,16,83,1,81
71,50,23,36,10,27,21,19,20,40,74,85,69,86,27,29,63,50,80,34,45,67,84,42,65
26,63,4,50,68,59,75,34,75,32,22,97,16,7,91,88,44,45,93,26,63,77,39,70,97
83,32,58,78,69,65,78,92,98,86,45,52,7,94,83,15,33,48,17,32,72,66,38,37,67
65,50,96,26,27,9,22,12,67,98,2,8,68,75,50,58,97,56,26,39,5,4,88,64,28
32,57,60,9,75,90,53,29,49,5,42,4,37,1,28,4,10,65,23,79,3,74,31,64,12
93,49,8,63,10,58,11,34,75,67,35,94,33,73,62,93,69,59,36,9,48,63,17,20,48
66,24,26,44,62,7,94,94,8,89,65,49,22,78,45,93,30,71,10,79,91,77,53,31,58
70,36,47,73,96,96,26,43,16,94,66,10,19,33,46,16,29,68,43,22,89,14,48,40,33
6,69,72,28,23,40,2,10,91,46,19,35,14,26,33,18,5,69,49,70,73,49,65,10,92
65,1,50,5,75,63,89,29,91,53,11,12,95,31,50,72,91,7,55,49,17,94,19,53,23
49,80,26,33,86,43,85,75,87,88,99,41,87,10,71,40,80,36,20,72,60,83,24,59,45
16,63,72,73,40,10,89,4,20,18,35,83,95,55,80,25,26,53,26,82,52,25,55,68,82
73,91,24,73,30,18,98,61,42,84,43,67,17,64,25,83,94,43,91,31,88,24,23,88,14
7,54,97,73,91,63,31,69,80,55,23,51,16,78,45,57,97,29,29,59,34,13,29,48,85
38,78,14,41,53,12,44,54,92,13,85,35,70,29,59,92,13,69,32,11,49,82,43,50,28
41,65,8,46,68,51,97,40,82,19,98,27,97,23,57,78,79,38,63,7,88,16,48,87,93
44,18,33,27,51,94,25,77,58,79,22,77,91,34,36,27,53,29,83,60,20,60,98,13,80
88,86,58,53,11,17,97,26,15,22,54,43,51,69,54,33,37,76,88,25,16,41,84,79,43
84,69,39,88,70,50,18,68,12,32,73,86,2,96,34,77,94,54,79,34,67,70,59,56,8
67,3,10,47,30,27,33,60,62,59,79,56,73,66,10,73,39,67,45,5,12,82,66,71,17
16,16,56,58,99,32,48,77,81,21,69,98,65,14,14,1,42,97,34,41,45,89,94,89,75
49,5,62,22,98,90,53,65,92,80,11,42,24,52,40,17,22,17,14,56,70,16,2,13,96
53,88,86,63,10,65,70,38,57,59,4,70,67,70,10,18,18,75,36,89,9,32,96,95,46
18,84,54,76,88,61,29,94,75,99,31,66,64,82,50,32,77,65,93,24,53,14,37,58,40
13,75,65,11,27,64,5,25,86,73,24,72,64,29,12,86,54,41,13,50,8,78,31,64,86
20,79,16,64,97,12,68,22,8,57,16,23,6,40,64,47,49,68,38,80,50,55,69,71,90
90,68,25,14,54,81,34,10,46,4,63,36,18,24,88,17,35,32,74,57,53,39,54,4,47
91,87,60,22,41,14,70,51,24,9,7,61,22,42,18,29,92,82,34,80,99,19,46,49,59
64,49,72,4,15,61,94,14,46,92,70,21,67,65,31,32,5,85,91,27,60,39,85,93,33
32,98,1,30,44,56,60,31,4,27,67,84,86,84,28,46,95,54,59,66,95,73,57,48,33
34,24,88,35,19,23,22,15,63,66,37,16,44,90,86,45,59,31,25,85,77,35,46,55,15
93,9,56,99,44,40,67,71,34,60,69,56,86,17,58,84,54,4,25,59,79,77,94,32,46
67,55,75,49,36,56,90,75,27,91,70,91,93,73,48,35,29,88,24,25,57,92,9,78,94
37,8,16,9,18,34,53,36,88,73,45,96,16,68,42,97,59,94,34,43,68,16,19,33,42
65,12,91,46,16,44,2,29,72,73,88,36,3,50,53,40,39,16,89,57,80,40,94,59,18
91,82,44,15,61,79,81,65,6,79,64,60,85,84,22,7,81,71,51,28,63,17,32,99,39
97,29,34,91,89,90,76,9,37,89,10,33,1,11,56,66,22,87,47,63,14,88,52,19,8
90,18,13,25,5,43,41,22,90,89,42,4,46,71,33,95,16,44,2,97,95,58,18,30,63
22,95,22,86,78,60,44,19,31,26,41,78,31,23,50,30,30,34,20,41,56,52,49,18,46
28,59,33,53,86,52,54,41,20,64,49,43,17,34,55,98,26,11,61,59,65,48,89,12,69
89,21,64,15,65,97,50,20,60,19,3,95,39,67,74,12,77,77,31,52,65,82,94,55,44
97,57,11,73,77,37,25,18,34,79,34,33,8,63,26,42,69,79,64,68,26,21,8,92,1
49,8,7,40,7,4,41,46,21,1,99,74,44,71,7,10,42,17,38,26,8,12,62,61,34
64,48,44,80,29,13,38,20,40,88,79,54,29,81,5,51,26,38,40,28,55,70,60,51,70
92,75,48,66,33,67,54,79,24,94,98,61,26,29,6,3,43,3,71,16,12,45,85,54,29
57,88,97,27,60,59,27,37,47,21,99,38,41,9,59,65,72,51,95,7,24,33,37,81,36
89,35,96,77,70,5,33,4,45,91,35,45,97,94,30,48,32,75,41,39,83,93,76,49,76
29,50,18,39,45,46,86,76,84,50,13,62,43,85,88,86,59,5,8,82,41,47,64,72,99
74,61,22,80,35,33,50,69,86,88,11,81,9,98,20,32,72,48,55,30,73,97,70,35,78
30,78,53,28,24,73,62,69,24,16,81,52,65,42,24,19,90,71,48,98,71,99,82,54,64
64,60,4,22,17,7,53,45,85,70,97,98,7,36,22,19,2,56,37,52,39,33,24,63,19
15,73,51,47,67,81,32,72,8,38,34,75,62,34,38,53,45,43,25,73,70,87,57,57,99
33,22,32,34,15,28,83,85,92,17,51,86,31,67,46,51,97,29,2,28,35,74,39,96,24
80,39,48,76,12,30,48,60,29,95,76,11,51,49,49,99,73,36,78,66,51,2,98,99,10
29,46,9,62,82,68,91,44,39,27,50,95,40,74,17,66,76,4,83,23,78,19,65,16,37
42,79,25,91,36,19,57,33,75,53,88,25,72,36,80,73,97,65,96,71,90,96,1,74,4
93,61,25,87,99,34,61,83,92,36,25,36,87,50,86,71,39,79,77,51,83,9,68,52,7
48,53,31,90,2,40,20,84,85,9,63,40,39,65,48,80,70,32,33,62,75,48,73,71,81
81,74,71,21,80,37,11,85,37,12,36,88,35,62,80,90,47,63,73,64,98,28,99,13,91
3,89,4,21,6,81,78,50,63,33,18,36,74,89,83,75,20,62,26,48,79,94,62,33,54
55,16,17,30,97,22,57,93,2,55,80,12,34,16,97,62,77,99,87,68,2,48,29,1,85
48,53,53,32,69,70,83,2,51,8,68,99,30,37,24,65,96,53,21,67,70,14,97,41,46
63,41,59,67,66,87,22,55,19,72,12,33,13,98,48,3,50,20,2,92,57,47,58,67,39
63,55,7,50,49,60,81,46,13,55,9,16,41,31,70,72,92,60,60,22,32,52,78,54,13
91,43,60,38,25,75,48,5,50,1,69,86,56,60,7,24,17,83,96,69,19,67,48,7,97
74,38,60,99,30,30,14,91,11,40,48,73,57,91,49,68,61,81,28,82,83,29,37,42,64
41,80,77,7,29,30,92,8,59,83,40,50,50,35,26,25,88,3,48,63,66,71,49,25,89
33,89,42,20,78,1,91,67,83,72,59,76,36,91,30,95,66,62,54,83,12,41,6,63,59
97,72,23,90,37,70,23,21,43,31,32,29,58,16,71,13,77,35,48,53,42,43,97,33,37
19,53,71,2,98,42,66,60,74,87,2,3,24,98,85,93,24,75,4,33,85,10,28,4,40
12,4,25,49,58,65,20,43,77,73,16,48,71,38,80,50,18,66,53,91,80,6,69,56,52
86,77,62,42,12,40,23,49,64,53,20,92,41,62,47,5,43,73,62,76,23,52,63,29,3
33,29,21,6,54,7,23,43,44,18,96,2,14,38,38,83,77,25,22,22,17,33,38,77,75
15,56,77,29,62,58,63,44,11,34,46,63,89,61,86,54,49,59,33,29,30,4,56,57,60
50,27,33,27,39,45,50,63,13,72,21,7,36,79,7,8,15,52,58,79,39,92,44,62,9
35,24,26,40,10,74,67,98,7,13,21,23,29,17,87,87,99,8,44,13,52,43,88,56,76
34,1,90,56,59,91,78,7,82,38,40,42,34,65,45,6,43,20,75,39,58,29,75,19,56
78,71,25,46,6,59,72,74,77,43,21,66,82,33,23,95,92,20,78,36,73,1,42,43,22
85,25,41,89,82,61,65,76,77,9,31,29,15,7,32,1,11,94,16,56,39,56,42,12,98
97,89,17,47,87,47,15,87,17,69,51,46,40,34,26,61,14,55,67,79,2,23,69,91,85
38,39,83,13,44,11,66,98,89,38,78,74,37,40,46,13,23,72,19,76,23,95,93,12,69
35,9,3,43,20,60,27,48,32,4,63,32,61,32,15,96,92,4,2,94,30,11,52,24,37
27,80,55,1,56,74,74,73,64,30,59,79,81,23,73,56,31,82,63,16,30,44,88,98,51
36,64,62,69,2,38,43,63,67,18,48,69,89,49,11,87,78,33,81,41,88,10,42,15,86
38,48,42,59,16,1,29,18,76,69,91,55,85,81,57,89,85,82,40,91,95,19,93,30,23
92,10,89,53,25,20,76,35,49,70,42,39,3,54,83,64,58,26,14,86,66,68,48,36,88
47,2,14,39,53,74,18,7,22,97,25,18,10,66,83,92,53,45,12,74,42,37,19,94,39
83,76,82,24,33,96,62,91,3,13,52,45,86,95,39,81,13,5,35,75,35,82,8,14,8
40,53,61,60,85,99,13,67,35,90,77,45,64,30,9,27,41,13,51,82,91,29,66,76,45
97,41,65,87,81,51,47,92,90,76,5,37,42,32,79,5,66,24,15,90,98,90,14,58,29
57,54,45,86,81,90,67,71,8,80,65,88,37,21,92,61,10,50,35,16,93,67,47,56,22
22,6,44,88,86,17,15,73,80,38,73,7,43,48,2,67,87,21,78,64,47,77,17,6,99
71,60,35,47,97,84,53,29,5,94,51,75,79,16,22,87,40,28,50,12,69,50,33,37,74
51,65,30,22,55,66,18,83,42,43,22,24,99,6,38,69,89,57,39,8,14,29,38,85,90
81,86,4,28,61,84,38,95,33,65,95,39,60,60,45,5,46,1,43,98,84,69,36,86,80
86,78,48,51,81,85,89,18,13,38,42,64,42,91,45,2,96,76,98,55,64,34,72,13,78
85,80,73,49,88,40,78,10,18,15,78,10,30,7,71,64,4,62,92,41,56,99,55,43,7
11,50,98,72,60,42,33,83,42,93,10,93,21,73,68,61,85,69,50,91,83,8,4,34,36
58,75,46,15,43,97,29,3,91,82,3,18,56,69,79,54,12,68,65,2,30,37,68,67,83
70,28,7,82,79,41,1,71,55,83,59,72,15,79,44,79,48,74,61,31,77,23,61,77,6
81,69,47,27,62,83,65,40,71,55,87,87,18,17,69,7,19,63,54,47,51,26,33,34,58
87,69,64,84,45,22,89,60,83,73,11,86,43,94,37,21,54,59,2,37,6,73,92,38,55
18,82,38,62,39,70,24,44,99,48,29,5,76,18,29,8,5,49,40,42,93,39,10,21,12
57,56,68,52,87,25,9,50,39,11,88,22,43,17,79,23,69,9,84,35,47,77,50,83,1
95,24,23,16,60,19,5,28,60,68,99,80,63,22,94,93,19,95,37,98,34,44,32,33,80
53,71,81,94,15,92,69,90,68,41,93,82,48,56,89,11,60,70,90,47,87,80,42,74,82
86,42,23,53,95,69,57,33,19,88,88,77,4,59,25,56,29,94,40,51,16,14,22,60,50
44,89,5,52,63,97,80,4,69,95,38,81,23,64,86,21,42,52,86,75,33,47,26,11,68
20,62,44,27,50,79,86,67,8,73,92,2,9,46,87,7,94,53,42,38,33,75,91,67,21
20,91,80,10,20,54,75,70,2,12,66,63,57,18,86,4,82,61,58,79,50,23,97,18,33
56,7,91,88,76,65,44,92,93,26,83,12,68,94,85,67,52,88,3,84,79,50,89,3,60
55,48,69,14,70,57,73,76,32,76,9,97,10,9,7,38,74,5,73,1,45,65,56,26,97
24,5,5,90,79,12,40,47,50,26,60,29,12,11,51,63,89,76,34,82,52,56,66,91,25
31,33,60,94,34,10,21,53,70,79,10,44,34,11,54,5,46,62,23,85,51,33,51,13,66
78,24,47,54,97,67,51,91,1,72,17,15,48,1,23,7,77,99,55,81,83,35,26,33,61
77,94,92,40,97,46,10,55,79,1,14,66,20,30,98,87,7,17,48,68,69,31,3,91,13
10,86,3,24,28,57,84,28,91,92,56,54,83,64,37,97,32,91,80,64,77,94,66,36,48
34,72,94,17,70,18,46,8,39,82,5,36,85,8,49,21,72,53,23,67,22,65,15,86,58
95,17,12,32,90,11,81,31,39,70,43,91,99,23,39,63,75,89,79,82,36,27,26,3,58
49,54,91,71,53,82,15,34,55,2,29,36,63,74,84,1,86,32,26,33,60,48,2,91,62
60,49,81,38,23,6,67,89,64,56,56,81,88,52,44,52,30,17,73,96,91,87,19,50,30
96,15,26,94,8,64,47,54,6,74,72,16,75,75,16,2,28,58,4,47,18,92,81,35,68
26,31,93,42,53,1,4,98,50,57,50,27,96,56,54,5,28,72,65,44,28,66,88,98,94
31,13,73,63,26,50,52,45,80,77,68,37,78,36,91,15,14,69,77,4,14,32,53,72,87
33,4,14,71,45,46,75,74,10,21,30,2,46,57,42,85,32,44,67,51,46,91,38,95,44
84,55,26,46,53,60,17,86,20,82,60,11,37,42,95,28,56,84,65,60,79,10,82,75,8
70,55,20,65,36,15,35,38,34,73,45,52,63,93,95,90,74,73,85,52,90,29,33,88,73
73,37,93,45,33,51,3,16,11,96,62,70,70,30,93,96,28,25,19,18,33,58,45,91,85
20,11,11,89,96,91,38,98,34,28,75,69,79,96,17,6,50,73,35,69,33,22,8,45,68
76,4,82,45,35,20,50,43,15,81,80,47,33,86,84,4,33,76,84,66,83,62,56,97,29
49,55,8,63,7,47,7,52,72,31,5,12,85,61,8,38,76,61,48,10,42,27,40,37,62
34,96,61,27,10,51,5,15,42,11,66,79,13,6,28,79,66,66,5,15,14,88,62,14,88
43,55,33,17,83,79,65,80,62,59,50,89,37,50,4,82,4,94,86,67,85,76,67,48,76
29,16,19,26,28,59,26,2,29,59,80,5,69,94,49,31,31,20,64,85,44,45,97,57,23
16,48,81,37,90,43,6,97,21,91,58,85,5,28,44,23,11,15,12,23,47,98,99,39,8
32,7,73,26,63,12,66,95,24,63,36,64,38,29,70,33,40,70,70,81,38,50,57,69,24
45,75,29,30,27,72,72,76,7,16,16,58,54,98,90,94,80,6,57,20,58,21,74,29,15
16,83,58,37,86,13,61,34,57,83,50,78,46,22,21,37,75,94,71,86,50,29,70,52,60
16,73,25,26,78,74,17,55,46,69,43,23,45,43,60,65,9,67,42,97,16,23,37,90,86
90,32,95,95,2,94,26,67,94,30,37,77,85,36,99,65,45,54,24,58,34,21,79,86,25
62,12,1,23,94,89,82,4,63,81,12,56,87,97,64,87,95,16,38,22,40,45,24,62,50
98,57,26,7,61,10,26,94,29,5,25,55,72,83,86,88,34,33,15,66,32,6,4,40,32
99,80,68,17,13,60,62,46,57,92,97,54,88,87,33,24,31,95,88,76,83,90,52,76,95
8,37,38,26,29,1,49,8,4,69,61,86,78,66,20,95,9,75,41,21,62,25,61,11,79
40,67,77,24,38,99,40,34,72,17,98,64,21,61,1,20,72,90,53,31,66,11,7,71,37
60,43,57,36,48,71,24,22,25,48,50,8,61,25,15,67,12,70,59,27,92,75,89,27,25
9,21,59,75,73,71,54,54,26,27,73,96,65,22,59,61,59,39,61,81,20,79,42,53,28
23,56,47,27,60,47,98,22,13,97,96,63,29,78,51,84,75,53,82,50,15,98,94,90,90
70,40,78,16,99,5,92,86,43,49,4,47,67,26,88,44,38,91,54,95,16,75,7,40,93
49,36,19,13,59,56,23,32,39,92,4,86,15,47,61,45,90,35,32,73,50,12,1,74,10
21,21,47,62,54,9,13,38,6,87,64,22,22,44,19,2,88,86,94,38,62,6,6,15,15
9,78,6,91,48,46,4,77,34,68,2,17,28,68,38,37,17,47,43,54,55,93,65,41,43
17,98,42,13,27,53,16,58,75,68,66,95,84,84,67,60,51,38,96,38,55,93,41,20,80
33,74,18,66,90,98,56,48,25,92,90,90,72,43,55,23,96,39,43,69,27,75,66,32,92
13,59,24,74,9,39,60,55,56,62,6,36,63,81,65,75,42,43,75,97,60,77,77,43,5
38,1,36,87,20,43,24,63,84,6,87,67,36,76,88,5,86,85,68,28,83,26,41,56,13
38,26,12,61,78,40,77,89,47,39,14,62,23,24,92,11,29,8,71,64,37,38,50,71,78
44,19,98,56,40,46,94,54,37,41,1,66,98,17,56,59,65,81,8,76,93,94,21,23,1
25,95,67,68,76,72,99,64,26,54,20,69,61,17,95,85,11,31,72,88,87,56,39,6,33
89,2,65,67,67,96,4,68,8,63,21,70,54,18,36,53,96,47,29,39,14,53,78,11,68
52,52,54,69,61,76,81,94,72,59,32,59,62,76,53,88,6,69,76,78,5,49,3,25,44
75,10,85,56,65,74,19,27,38,95,29,55,22,39,67,16,25,99,75,60,9,6,21,14,35
76,10,34,3,13,8,94,41,36,7,23,4,18,52,22,22,77,75,71,3,5,65,64,10,53
74,81,13,16,80,96,46,79,64,98,45,63,6,67,4,98,83,37,5,26,39,94,34,55,34
71,11,13,55,83,88,8,85,85,94,53,94,89,27,20,24,35,76,29,40,39,16,90,82,32
7,70,75,33,42,22,64,70,57,27,32,69,21,20,57,8,38,78,93,17,79,58,30,89,76
49,82,28,55,1,74,60,3,73,11,56,49,12,45,22,3,98,67,87,73,9,63,6,4,74
45,10,19,42,66,43,27,64,68,16,15,92,9,34,82,9,11,98,7,95,48,35,70,66,1
33,54,60,41,67,72,46,1,79,12,62,95,72,54,48,7,47,54,83,81,72,43,15,32,96
84,78,30,31,6,67,93,18,36,67,57,24,25,46,51,78,42,98,74,67,67,77,43,75,96
85,94,36,79,71,66,22,33,81,44,92,70,5,98,40,14,29,71,60,23,42,44,47,40,98
68,47,5,47,24,73,13,37,75,67,17,93,61,75,49,89,10,58,86,75,86,5,99,54,57
96,80,97,51,28,42,39,98,17,28,12,22,78,31,90,61,6,23,5,80,46,49,17,26,41
43,93,17,84,85,33,79,76,18,2,57,32,75,28,61,74,14,83,6,10,59,98,24,42,1
76,18,68,8,92,42,55,11,76,87,44,5,46,66,30,19,36,7,99,40,23,45,98,76,47
29,31,23,56,26,2,13,12,78,6,5,63,4,64,44,71,96,31,36,71,24,27,21,27,66
6,80,13,7,45,11,22,13,7,7,58,30,13,72,55,63,3,38,41,7,31,63,22,44,23
77,85,91,96,19,36,91,86,82,5,84,85,78,80,38,45,54,11,84,13,65,66,65,39,73
38,47,81,49,58,18,99,45,34,46,95,40,35,20,5,52,29,96,20,2,93,64,27,47,1
17,93,15,94,52,37,97,77,30,31,51,90,70,35,93,46,85,39,66,46,65,61,86,61,25
41,2,55,36,14,68,68,19,28,91,68,1,88,18,63,76,6,86,89,4,43,7,72,53,68
35,15,9,38,96,97,52,53,61,64,65,74,71,17,33,96,28,73,25,12,35,28,43,90,25
64,29,25,9,79,16,86,20,34,28,52,66,31,21,50,59,29,34,31,72,40,91,66,89,92
90,25,36,66,33,66,6,69,87,69,47,52,28,83,60,34,13,26,46,96,94,43,65,2,23
78,22,1,33,80,78,12,93,49,63,15,21,51,85,3,50,93,56,49,48,5,47,43,14,86
45,29,83,44,28,41,43,91,25,82,56,12,84,52,95,77,10,98,46,49,2,57,86,79,50
1,14,51,38,15,35,6,42,90,80,46,87,20,79,52,75,8,5,87,69,29,80,56,19,46
43,65,61,25,84,28,41,34,49,4,77,35,59,95,90,50,36,32,53,68,48,73,60,80,13
11,9,91,63,99,28,64,80,77,52,25,54,53,12,35,81,94,18,99,39,85,12,59,8,33
39,49,75,78,90,5,50,91,63,81,46,13,79,7,57,35,48,48,96,50,78,94,49,52,95
19,36,3,91,78,64,42,58,78,67,95,63,19,4,29,50,63,7,48,97,37,5,32,82,87
88,61,67,40,99,84,19,5,6,19,22,9,87,96,26,58,34,73,28,92,6,3,8,57,10
74,82,88,56,23,38,26,77,52,9,34,28,99,13,46,29,4,35,89,30,58,27,12,89,68
21,76,98,4,3,55,74,88,43,5,56,37,71,21,1,20,32,57,43,69,87,29,39,92,92
55,45,69,40,34,58,33,45,14,60,24,70,87,52,29,45,26,23,32,4,10,2,75,80,42
36,91,38,31,1,5,76,1,13,38,26,50,73,32,66,48,78,73,21,45,98,10,9,31,35
89,47,46,28,22,77,60,19,87,11,33,18,83,92,24,22,27,1,17,30,51,68,58,83,82
26,21,5,21,32,92,88,65,77,86,46,27,52,73,49,29,74,23,28,91,48,34,39,79,38
32,26,48,41,36,44,83,76,32,83,78,32,48,33,53,58,29,3,31,39,82,36,45,71,22
