id,value2
37503,82
34424,98
17288,40
32348,35
18260,18
37778,65
38730,79
35883,11
33599,82
38077,82
38068,96
34927,83
33994,38
16513,89
30657,24
33699,41
34068,8
13445,62
36321,82
16026,20
14123,58
32967,48
14188,78
32744,63
12919,25
37354,61
33073,17
32542,7
30732,51
37896,82
10451,97
30603,63
16719,40
34193,52
36020,42
34646,60
37563,8
36775,73
19601,77
39298,41
33940,25
38840,5
39975,22
37663,31
33897,94
12275,60
13226,76
35661,75
32202,33
18707,80
34812,87
38813,16
37389,64
32560,79
39561,77
35211,84
33883,67
37730,23
38799,34
32004,88
30499,40
36784,91
38512,58
36012,58
33589,73
39041,20
14352,56
35224,11
12770,47
19729,22
31059,43
31522,54
16621,96
34376,49
18141,66
17087,26
39630,7
31712,57
35197,92
33233,70
38121,50
31099,88
36498,36
34034,32
33969,96
34701,69
39863,20
34839,39
31071,44
33625,25
30033,9
13410,81
31809,37
31954,16
15616,40
30251,96
30728,38
34187,24
36530,5
35206,74
19752,52
36664,50
38893,59
37364,26
34616,98
19564,75
11617,7
14411,34
39226,54
35959,29
38281,57
16365,31
33519,29
19064,40
34691,42
33317,32
19380,12
11674,98
33468,33
33482,12
15675,4
34207,45
31486,68
38267,38
37984,8
32769,66
32798,74
34320,72
39991,13
36651,62
32428,36
38136,19
30473,31
31335,97
18974,23
30164,29
39093,52
13424,33
34777,54
37541,88
34977,31
36801,72
32241,46
36136,91
19161,95
34046,77
39167,99
33655,43
35098,15
10025,22
34760,55
32638,57
37150,44
15757,30
38359,78
19066,59
32541,28
10012,63
30001,30
34588,49
15654,35
37272,72
30074,64
34730,54
31610,17
37445,60
34403,8
32365,38
30930,74
35751,5
35006,83
35878,67
36134,30
37998,60
31979,90
16022,86
34301,93
33022,67
17673,52
38682,48
34880,25
39498,92
39996,12
10897,27
34224,39
16952,77
34602,40
15568,80
39377,20
38097,63
13672,58
39111,30
16055,51
38709,71
31835,70
19693,79
30541,5
38795,47
38532,74
11182,41
36516,42
31137,70
16521,35
15994,61
34393,75
36577,67
38313,1
37242,7
35209,63
31817,43
15105,9
30646,33
19700,3
37419,25
18514,90
32626,16
31667,21
12220,91
38861,1
38914,78
35827,93
31043,15
38061,63
30153,86
35506,53
32693,97
34974,96
30496,70
36033,11
38959,16
31716,92
35904,98
10372,72
11671,12
10365,51
32619,18
35961,19
18292,77
35592,8
35276,11
38752,17
16578,6
35930,37
10443,4
32848,81
33845,73
11834,60
36955,28
16135,94
33228,57
15056,66
38561,10
30058,4
10104,54
33957,73
38425,61
33343,8
30163,20
14092,63
39655,41
31123,40
11960,9
13065,56
34469,96
37298,27
31331,10
37569,23
37493,64
32376,94
35432,39
10112,8
34426,72
30072,47
12598,10
37230,41
34053,53
36026,14
33504,66
38333,59
14804,85
32862,44
17169,25
31255,28
33053,25
32431,79
33494,67
19020,76
12114,74
32404,75
39079,65
38555,51
37174,7
30226,10
38132,72
32118,11
33905,20
38816,95
32623,97
30267,4
13494,34
37500,63
15490,92
19956,67
31156,90
34111,59
37825,99
36395,7
33070,88
36927,99
38814,70
34144,69
30550,75
31250,66
39542,96
39230,94
32852,57
34706,78
32276,18
30801,92
31577,29
13235,34
35490,62
17743,29
33757,37
37447,63
34549,15
37514,63
38223,31
33608,88
34074,74
38258,3
36629,90
14598,29
37487,5
36539,61
11039,40
13864,40
32715,18
15774,80
32943,24
32350,92
33020,74
37121,19
32389,14
38168,54
39537,55
15265,56
32764,5
36535,86
36329,49
10690,36
36843,30
18382,95
31642,44
17282,80
37012,26
37962,70
32652,75
31333,41
35283,36
37941,92
37875,4
34124,53
32390,6
11426,39
34538,94
33060,20
36243,27
31046,6
33389,44
14709,16
31988,29
34579,51
10756,67
36465,55
13005,15
32106,95
32175,67
39202,55
33507,81
38609,98
33997,20
15002,13
37015,28
30917,29
35318,10
14848,11
15818,66
37470,4
39963,10
32836,91
30382,84
19105,77
32001,82
32400,27
36821,34
33158,59
30903,8
12660,9
31861,55
13091,42
38639,97
12709,14
32963,65
34031,76
11574,67
37947,95
37818,63
18128,85
31045,91
33991,33
37553,72
39576,86
38541,96
35221,55
35910,12
31831,79
37512,22
33804,69
38133,74
31168,68
39209,58
17966,93
38724,69
32256,79
17189,36
36918,42
10199,7
38123,98
34406,11
14716,31
12318,26
31655,58
17887,32
12691,97
17492,77
34919,77
32023,43
31465,90
17082,48
38493,4
32614,39
39722,33
36251,61
38298,82
36248,11
16933,33
39130,54
38263,32
36536,42
15578,53
35714,58
38581,83
32249,69
34286,55
37805,34
16943,62
34615,59
37478,32
17621,14
31319,18
30375,94
38925,89
35364,85
19469,12
39834,87
36155,12
33891,86
32555,97
19674,14
14404,13
12611,65
31545,23
12032,56
30351,81
39744,63
11783,39
31856,94
30761,64
38473,95
30828,95
37626,43
34356,43
14270,34
35021,94
33371,79
38140,20
15883,29
30239,93
30968,63
38753,51
13123,69
39497,3
31194,5
10996,38
10708,5
36569,47
37440,29
33594,41
13388,60
33306,64
32738,44
35870,31
32988,4
38348,13
31554,51
14052,81
32992,57
31969,45
30477,2
36160,42
32775,15
38957,59
30386,44
38001,36
16571,99
30585,32
31342,53
12822,37
33518,29
33115,72
30789,49
37231,12
32868,48
10489,26
31352,43
13959,35
36204,14
36357,23
38108,68
37971,53
31065,33
10017,67
17221,15
34710,37
10697,91
10234,69
18369,59
13968,84
19477,22
19705,39
37647,12
35349,72
31580,50
16486,4
31694,34
37530,33
10874,41
33226,17
34729,55
17963,11
32735,22
15429,41
39034,84
34541,89
37327,14
34592,38
31811,77
35676,65
35837,12
32786,93
33828,76
34392,90
18350,7
32641,19
30020,10
33204,85
13876,1
16820,24
35394,70
31318,89
30652,61
38192,13
34559,22
34262,7
33118,30
39225,49
36322,49
35949,64
35918,94
31961,63
17362,9
19506,23
37767,59
12722,95
35572,46
30617,35
34660,91
35716,92
30677,15
34155,48
39918,94
32580,64
34608,44
31140,82
34923,50
12406,1
17548,68
37175,42
30887,11
37877,29
19411,12
35841,82
35437,46
31589,67
38868,34
38839,84
17064,27
32952,15
18213,27
32047,97
38608,18
39716,49
39044,76
34544,7
36830,6
14036,36
39564,95
17997,54
14343,69
31935,46
17701,43
30417,62
14889,21
19827,46
12929,90
31197,59
30692,77
37320,9
36234,60
30423,15
39539,49
30605,61
34255,22
16745,95
39469,56
30132,73
12490,25
31096,93
17473,48
37771,54
37422,34
37326,91
38277,82
37103,11
38668,97
19720,36
37154,77
33142,20
34670,48
31411,53
32003,52
37630,27
34209,36
18772,75
10582,71
38036,16
32092,81
35584,60
35593,22
36025,27
35464,66
39769,64
19626,54
36279,63
34907,37
38571,4
38072,2
35179,69
30087,89
37808,77
35668,70
36470,60
36244,74
32115,32
16523,57
30834,43
32562,81
34980,83
16961,78
35655,35
38694,2
39859,25
16548,99
36103,41
31485,72
38243,65
35523,94
15666,92
33766,25
38114,9
36585,41
39150,97
39032,71
17562,50
30553,82
34587,68
30431,5
31101,4
30283,31
18374,34
37639,42
32716,24
34069,53
30361,23
39596,94
32220,52
32283,56
31498,63
32871,39
31662,94
30372,86
35532,52
32512,47
32403,1
33983,2
16892,15
12967,32
31570,20
39558,4
33063,44
39529,39
36721,90
34611,39
38452,99
39027,11
38110,97
38254,89
38234,62
10351,78
30036,52
34633,69
35384,94
35015,63
14019,36
34788,35
14658,91
36921,31
10774,62
36037,93
30228,62
38414,18
37172,40
33319,47
31460,91
33230,84
37244,89
38316,40
35579,4
19260,40
35245,86
39021,34
17683,18
17242,85
35074,77
35599,82
30722,23
33751,71
37717,72
16783,44
30018,5
37700,29
32608,32
30566,61
16076,82
12110,63
32575,36
33901,14
37022,45
35796,29
34435,94
17634,80
18397,29
33616,64
36196,35
36063,21
36356,99
33497,76
34556,22
30102,20
13290,25
16992,69
17960,55
18163,75
35238,11
19512,23
39067,38
36606,21
14639,71
37484,19
30695,55
10537,82
12083,50
15778,69
34565,40
37559,8
33500,91
34864,65
37490,77
12596,41
32906,94
34146,28
31821,62
15045,87
38934,49
36222,10
39662,30
15367,32
39796,94
35386,41
19221,3
31028,66
34205,20
39879,2
30731,2
16727,26
31759,15
38159,78
33043,10
19386,76
35863,14
18346,85
37672,57
33178,79
33227,7
33257,39
15235,86
39385,53
12809,9
17986,68
19391,92
33668,18
15793,24
10658,37
33672,96
30141,82
33826,13
33432,94
18264,76
38444,69
39059,90
30609,16
39685,18
30740,17
30085,73
16984,5
10153,92
38941,75
33480,13
16090,19
38863,43
19384,56
37903,96
10722,45
34118,54
32116,75
34191,85
10345,31
33411,12
32453,95
16863,26
32117,17
30134,45
34679,84
37245,55
30822,26
37682,27
30269,99
11183,56
14349,49
35181,76
14361,66
38268,98
34652,25
37693,84
33296,27
34239,18
35099,70
38727,83
32985,18
30628,24
35107,94
18317,33
13757,6
34727,38
37247,39
34726,96
39337,66
30181,12
35404,12
37483,24
33762,86
32617,29
32937,7
30546,90
35641,91
10978,35
35642,80
34372,64
31890,84
36261,98
31621,99
33667,81
15239,3
31091,62
14091,84
34242,89
33732,93
35566,58
18894,98
14822,81
36580,69
32527,77
33147,17
35823,9
39809,18
31034,62
36904,48
18373,80
35686,4
34578,66
33244,80
30337,99
36860,73
32878,53
31784,25
19087,18
34339,21
31917,9
38513,74
30387,51
18811,47
18401,34
32974,33
32301,7
15331,65
36917,8
39458,81
17528,18
30000,68
30894,96
31573,14
31083,1
38556,63
19496,92
19730,28
14217,62
11560,91
32892,31
37978,92
37232,25
30776,12
39124,20
11804,62
32327,25
39158,32
36445,19
15768,2
36502,83
32257,14
39372,69
37690,87
10269,26
34675,37
16636,28
39218,96
31134,83
34785,55
15676,3
34027,47
34899,75
13603,41
32379,92
10924,60
38366,51
38364,37
34498,4
15775,71
39137,39
18786,15
35277,43
34257,19
30279,29
16736,88
38961,39
33099,49
30889,32
34798,33
31673,57
12639,3
14972,43
30323,43
17458,24
35303,92
35291,85
36895,10
33176,8
38367,34
38654,56
17802,84
38719,35
33014,20
18627,99
34575,53
32012,41
36092,65
36963,70
31674,34
31852,41
33981,82
31523,27
16164,88
35644,14
14181,42
35609,87
19434,46
39858,26
31846,44
36123,4
32266,61
35970,59
38037,25
38094,88
35078,40
35944,42
13465,12
38102,30
30062,11
37155,8
37649,21
39942,93
35337,42
35568,3
30707,15
39666,62
10253,79
36732,53
32070,35
17018,14
38383,83
37228,15
39807,73
34241,53
10797,59
17624,56
33676,14
18671,53
32820,19
39406,90
13002,84
37658,45
36200,29
31358,83
15029,12
12015,57
15446,69
15663,91
36739,85
35715,41
38508,52
30406,82
38322,34
34780,19
32437,73
34196,27
38697,52
33298,25
11451,52
34800,64
13371,15
30918,82
30943,31
32494,41
34929,74
12229,37
12802,98
39665,86
32219,80
32554,97
37052,13
32993,80
37852,44
36212,71
38860,18
39378,3
16099,14
39486,43
17452,68
32504,14
39054,19
14937,35
38382,14
11111,73
37341,58
35266,61
38053,16
30378,75
31895,40
31258,86
32664,79
36608,24
38208,44
38583,47
39135,36
31704,86
31983,61
37660,85
11232,20
30539,33
32804,25
14752,4
15867,87
35341,4
15989,93
15803,47
34700,93
31942,92
35223,97
17052,78
38910,42
14708,3
34283,10
35744,56
10068,89
16115,42
34254,1
35347,2
32563,63
34499,59
17048,22
35163,90
36869,87
38774,47
37039,25
36710,48
35443,7
10452,53
38148,91
32979,60
10525,59
30940,39
35156,91
37202,40
31093,70
35909,80
36915,66
31344,41
39038,71
31126,25
34096,39
32102,91
34807,8
14049,9
38584,38
39149,19
30131,34
31754,69
14894,62
30492,64
16161,32
39104,44
30057,42
30373,65
34910,31
14104,86
13999,41
31607,24
31068,39
39345,3
39925,80
32341,8
33546,9
19970,73
38175,85
32457,68
15924,23
38468,41
32006,42
19353,46
31343,56
39718,29
32149,82
14855,40
38297,25
32835,79
37792,93
34451,16
33282,32
17827,71
38822,22
10886,6
11286,95
33200,28
38099,39
19547,31
18841,47
31768,75
39706,76
38034,18
39289,56
12077,90
33508,27
39433,51
14408,62
30354,77
34346,85
34371,50
34359,89
15088,23
38127,82
36567,99
38057,72
35051,55
34614,59
15515,47
30402,10
14272,21
30024,90
33665,66
12553,21
33613,33
32806,1
34933,91
35045,87
39394,13
12307,84
34921,95
32370,49
37252,56
38954,42
38604,45
33979,35
17318,19
35200,70
39260,67
38681,16
39936,67
36130,50
36737,21
30755,15
35095,27
35010,61
38327,3
13130,4
31936,5
30021,8
35393,36
36866,22
30839,47
13544,90
34946,81
34131,71
31615,97
30236,77
37037,70
12156,17
37480,82
35590,63
14911,16
38290,17
17127,31
36010,93
39845,43
38652,87
33410,72
19865,28
35480,3
38987,51
15714,25
39811,70
37094,21
33685,57
19385,94
30490,65
38884,94
37126,31
30054,91
38246,30
32812,45
31104,3
38789,9
37940,92
37551,6
32274,73
33760,25
17828,52
38540,96
36617,96
32606,55
36534,81
36783,44
30146,74
30455,28
39242,19
31993,51
14697,11
16847,69
30095,51
31032,84
12942,59
15798,36
19041,14
37218,88
38259,42
35247,33
30645,86
39404,13
37418,93
30360,48
34532,50
30589,34
12840,36
37421,72
30697,21
39287,66
17021,48
19073,92
32902,53
12101,39
30216,31
37162,77
18424,15
34072,20
36964,81
37265,61
38949,98
30470,2
12907,51
32838,39
36398,79
34011,34
39919,77
18210,39
31803,34
30457,25
39699,57
38549,9
35882,60
30751,44
30277,14
10517,31
31652,66
10750,61
16713,21
10729,46
36042,8
37084,66
33456,24
32780,12
16807,46
31263,66
17498,93
16046,14
32653,31
33621,25
15962,60
35077,3
12449,96
36831,79
37716,97
36751,24
37725,33
16300,16
30991,31
33611,79
33962,44
16295,63
38625,2
18507,10
31541,17
34682,66
35446,64
34975,42
10487,5
11501,58
39325,39
37728,34
30831,39
30964,52
13611,85
34963,14
13311,47
37981,70
38492,51
12263,11
30931,25
36903,29
11362,32
33338,3
38732,80
37461,2
33139,74
38740,50
39132,92
12600,16
38763,26
19290,57
30041,28
32650,51
37837,95
36339,11
30432,56
11262,78
38272,7
35110,23
37591,74
14238,6
30555,91
36574,2
19272,67
32077,47
39830,55
39057,11
39070,54
36879,53
32002,3
16042,36
39683,91
36725,31
36876,99
32206,25
35658,30
12617,11
14445,80
37894,57
16510,77
37790,82
19487,85
34307,50
32842,97
36493,29
35752,7
37331,74
39267,41
35143,23
10703,45
31551,31
16384,46
13219,69
36997,4
31995,50
11635,61
32279,37
32642,54
19578,74
39076,68
18881,9
37589,31
32978,14
38222,87
34774,44
10502,36
33868,25
38543,21
14058,93
13985,60
38154,76
37588,19
37705,76
10169,50
35075,52
33778,91
38919,18
17704,51
32250,29
39055,88
11192,71
37061,3
30397,12
36928,98
37306,59
38454,24
38046,37
15129,23
39019,77
33196,4
30271,98
31278,85
32392,6
38156,35
37625,77
14252,38
33744,59
31629,43
32597,72
15928,81
38886,77
30702,10
37608,90
14642,14
11895,97
30924,35
13490,91
18553,54
38375,52
37597,21
31496,23
30215,4
31329,76
19253,16
34680,94
35520,27
38007,75
39080,58
34526,34
17521,51
37988,89
34341,47
31728,93
34959,39
19857,99
35603,91
14254,84
38714,40
30128,53
10738,57
16438,36
32290,10
37544,20
11227,60
33784,33
36544,71
12789,8
35662,78
36802,56
11376,7
13646,64
39585,17
33684,82
34057,90
34881,50
30947,93
15921,39
17700,91
37467,99
39007,28
31223,56
30687,62
37545,99
31668,64
33302,72
16981,47
31295,91
13223,57
36907,82
32872,85
19197,21
35973,21
37217,81
38918,35
39517,30
35104,18
19944,11
38996,64
30607,64
31914,96
38958,71
36716,1
36980,88
37718,31
39487,59
37844,19
31548,63
30318,96
36992,94
30863,88
17317,19
31780,89
13695,40
38354,24
31697,19
36509,85
16789,61
12168,3
30211,46
14397,50
31078,50
35755,74
19687,3
30184,87
14011,17
18599,58
34463,98
38632,13
31286,91
38880,20
33322,41
18858,17
37038,87
31398,64
32964,3
36213,34
36215,65
32340,94
34841,83
37936,82
30710,87
13996,36
32374,96
34374,33
34105,56
39329,19
37259,71
35007,81
13577,81
36578,20
32505,63
13098,28
38249,93
34071,59
31178,24
30468,67
11606,71
32525,71
32335,60
34107,33
38586,47
33037,21
31959,27
18099,24
34047,71
18290,37
32423,2
36910,79
33216,73
31777,6
36004,46
15345,96
32790,16
32188,92
31544,27
32981,35
15841,4
10455,20
37335,97
32884,37
37719,52
33116,44
37430,57
37513,64
32948,86
34023,97
30400,2
35871,80
15096,66
33175,87
36139,51
34123,25
33113,35
32381,67
33761,31
16442,67
34739,82
38805,41
35130,1
15169,53
18020,5
39403,46
38021,90
31056,59
32825,1
36561,90
36932,39
15130,74
32054,59
36008,37
15521,20
35849,13
30256,42
31702,63
32749,40
38836,93
11673,89
14687,71
36912,18
38084,69
37006,19
16379,41
31340,38
36951,32
31004,22
19100,82
13467,44
17061,5
36255,44
37518,14
33067,9
32267,11
34395,30
10579,7
30459,31
39560,10
30933,79
37507,52
34958,33
17633,61
30618,52
33624,90
32383,58
35012,34
36455,35
31747,82
32723,14
36579,96
33409,26
38481,52
39278,6
34332,44
33156,57
15946,78
18434,45
15485,1
38388,36
39435,50
36626,97
10156,79
35284,79
38827,60
36246,50
35188,40
35320,90
33236,32
34222,97
10187,26
31967,75
34702,24
33921,30
33218,58
35313,98
33369,32
39958,26
31872,9
33005,48
14654,72
38683,57
19559,70
32687,18
34688,21
39972,83
31312,79
33223,82
36237,75
39170,41
16417,67
39071,77
30545,20
19887,18
32041,10
38178,64
11522,68
13287,63
37400,56
36952,6
34769,96
14393,39
15503,80
31582,3
13730,36
30098,60
36132,75
39276,93
32576,68
35538,8
10434,90
34815,50
38421,32
38907,47
35026,88
37980,29
35236,47
35304,26
36086,8
18537,78
39320,83
34330,56
31714,79
35374,38
33079,72
13673,32
15750,77
35204,63
38079,73
37522,75
19424,74
16593,69
30656,82
38523,87
30900,42
10406,63
37850,9
18580,40
31752,19
36374,68
30724,63
38565,51
12544,30
33590,49
38693,58
32152,27
15705,87
35028,23
39033,46
16471,83
12112,91
33487,94
39117,11
34842,68
38346,42
38467,22
16613,15
31094,38
32814,87
10413,2
12358,72
30573,77
37200,11
39559,58
36668,83
16603,89
36459,72
12461,26
36576,71
36692,87
30678,92
30857,81
10266,11
36558,1
35663,87
33427,7
39518,50
17323,70
12279,26
32307,96
17337,26
31095,5
35164,39
33333,88
36676,11
30289,20
11364,3
17426,49
11862,34
36363,14
34390,98
17464,24
19436,59
32698,72
34380,42
39675,45
15850,92
32184,35
35646,62
30381,84
16628,44
15845,37
38687,20
14660,35
34530,28
34953,86
32424,30
13997,47
33748,95
18167,94
32800,92
33329,75
13819,54
36658,62
12212,84
38392,71
34214,86
18785,48
35810,93
37374,91
35196,98
37041,34
33083,11
30142,10
32405,12
32821,14
31743,10
37394,32
36070,49
30888,54
13161,40
33903,46
32690,7
33065,24
37698,77
33458,12
31293,27
32228,18
35766,14
17812,52
33360,97
34518,56
10493,64
31729,37
36277,52
18889,63
36546,51
38340,53
33097,48
36762,15
37071,14
36060,67
18104,80
37665,9
35397,38
38699,27
30814,76
35001,84
34593,24
35708,37
16030,69
38965,62
38501,80
38773,81
38612,86
19426,65
11845,89
16492,50
37901,14
16279,78
16626,7
37291,18
38221,62
38602,51
15084,27
39395,24
11842,41
14773,11
35275,85
32410,26
10895,29
33525,18
35808,22
31848,16
11523,27
14503,82
17567,36
38777,94
19702,40
19791,53
38469,69
34711,48
33215,82
19199,42
37337,27
34454,75
37643,88
36560,96
10851,36
35103,85
34097,30
12159,96
32553,59
31105,50
39216,83
33815,33
34020,71
33555,90
39854,32
17831,97
10289,96
34787,79
32397,34
36858,98
12541,70
35695,47
38875,86
31645,67
34519,87
38849,88
13536,81
37275,62
38545,86
37601,79
33541,95
38352,71
33127,86
36440,52
13807,50
36166,90
30622,79
35195,46
33620,37
35962,30
30205,65
30089,71
38331,52
35061,14
38909,94
39682,34
38365,77
39887,52
39978,77
11857,78
32499,18
31016,32
13464,84
34591,23
31228,20
16817,28
18432,94
19098,81
39528,33
38465,3
34507,10
31307,95
36056,78
10884,26
36478,54
38585,54
34830,59
17171,94
14290,51
32238,25
36145,76
31041,53
35994,20
33385,49
35741,24
32777,43
35616,64
19059,6
30989,77
33464,47
33560,29
30714,87
32141,37
18205,96
17972,47
37986,96
38196,69
38744,17
31706,53
39147,77
35560,65
36059,46
31800,72
36327,79
33982,86
31975,73
14243,77
16869,96
31368,26
30995,71
18187,50
19999,40
30805,65
37206,92
37602,86
15527,12
35014,67
39861,42
17730,16
30685,51
34754,40
34051,62
31354,25
35601,77
37273,75
18702,31
38989,5
37565,15
35649,16
36711,26
35996,62
33752,10
31490,79
32197,19
30849,68
18869,79
11122,24
17161,23
30923,15
39705,42
38756,47
30820,80
37134,52
38528,74
35515,80
16965,49
32427,30
16924,6
34983,55
33705,59
14380,52
37683,37
14694,92
32225,25
35172,68
33526,94
30008,66
18520,91
30238,87
19790,45
34546,38
39715,75
32805,98
38232,96
31272,15
16642,87
19983,21
35438,84
36506,33
39746,2
32488,34
14801,19
39348,38
35244,61
35424,62
38862,57
13657,29
38796,79
16606,66
32271,68
12799,88
34197,41
37713,94
13469,17
35002,83
34972,47
31801,85
33193,8
36466,65
32142,60
31306,4
36461,12
33973,72
38282,12
14602,91
34543,5
33277,43
32160,3
37910,57
32459,14
37537,49
31864,47
31500,76
39623,28
34595,46
11126,14
32414,52
37966,69
38250,44
35660,74
32636,95
39388,51
37286,19
37804,91
12489,21
34267,17
19413,98
38082,28
11487,15
39380,91
37841,97
31100,49
30848,63
35174,62
34632,19
18568,99
14793,13
33209,58
30214,3
30942,53
33733,83
34672,94
14064,12
19410,78
30587,99
14954,41
33822,98
37957,46
16526,48
32207,41
14976,18
15388,29
33340,1
37711,23
37861,54
16431,74
37274,4
10807,4
34883,22
36985,66
30366,42
30784,9
13012,77
39089,82
37854,68
30329,33
35850,13
35373,41
12676,67
33840,85
31271,27
31876,73
35350,42
31844,43
37237,86
30768,89
33662,74
36524,37
36079,59
12828,11
31280,15
36996,93
16638,15
30596,51
34017,47
12391,60
38983,88
35774,53
30922,4
17870,15
33827,24
39692,53
39421,97
32885,24
32908,66
37937,31
30970,81
30200,70
35748,65
30739,60
15610,69
35235,19
38328,21
31371,51
37543,77
31464,5
19029,38
32450,86
33008,22
35249,38
36075,44
11332,24
36104,47
31543,83
16977,77
38871,49
32445,79
31751,31
39995,92
14862,83
31612,41
32192,86
32701,30
12849,34
31357,39
11412,83
13825,3
31260,84
36774,72
32880,90
31737,6
32359,58
18877,34
37475,63
37611,53
35613,99
30249,97
35936,28
39389,32
36708,99
19651,35
18656,17
31081,14
35348,78
19716,75
37276,60
39771,86
37391,5
19363,3
36027,11
31300,38
39182,5
36923,79
10317,74
14729,2
31185,50
15381,34
33917,75
10076,89
37605,55
32475,80
33563,61
13644,8
13782,91
30711,58
14340,72
10573,26
31268,53
37255,83
38837,27
33054,25
12624,91
18998,11
33007,71
11694,99
11613,80
39643,18
39456,33
32977,53
39761,51
39365,88
32050,8
30542,59
33534,76
18388,6
32487,62
11091,34
38109,36
15555,39
35415,8
11644,79
33730,54
32630,87
30994,24
39107,96
15801,83
39176,87
31744,52
39552,20
17198,36
12630,13
32684,90
37638,78
35773,54
38695,77
31125,79
17196,34
38931,98
38431,1
37764,51
15378,89
35618,58
15952,25
30463,90
33966,4
14156,81
38078,12
39601,46
39463,17
36939,12
38815,54
37953,96
